Model,Target,MAE,MSE,RMSE,MAPE,R2,Training_Time,Prediction_Time,rank_rmse,rank_mae,rank_r2,overall_rank
persistence,pH,0.006805352798053536,8.47566909975673e-05,0.009206339717692765,0.08536864288766995,0.8311484856336537,4.599998646881431e-06,0.0008847999997669831,1.0,1.0,1.0,1.0
linear_regression,pH,0.007492005232393652,9.713093004903934e-05,0.009855502526458981,0.09395852866775382,0.8064966383472584,0.15060970000195084,0.017087199998059077,2.0,3.0,2.0,2.3333333333333335
random_forest,pH,0.007488124251240946,9.788095735456009e-05,0.009893480548045773,0.09395037972339342,0.8050024407227083,14.092372399998567,1.4156918000007863,3.0,2.0,3.0,2.6666666666666665
arima,pH,0.021958879462399276,0.0008390978156476746,0.02896718515230078,0.27503824562796475,-0.0728014543539992,0.8631349000024784,0.017724199999065604,4.0,4.0,4.0,4.0
svr,pH,0.024448314866412142,0.0009406931072958139,0.030670720684323898,0.3069518123939028,-0.8740403129404966,6.041859000000841,1.0381860999987111,5.0,5.0,5.0,5.0
arima_lstm_hybrid,pH,0.042449348284545836,0.002690238694098918,0.051867510968803175,0.5326300253047269,-4.625243649535696,278.13196569999855,225.30779449999682,6.0,6.0,6.0,6.0
transformer,pH,0.32596814808701013,0.11366345284033094,0.3371401086200379,4.0881991369205934,-112.13528042007763,68.16578899999877,1.697579499999847,7.0,7.0,7.0,7.0
gru,pH,1.7983280269449409,7.7779987592500675,2.7889063733388517,22.546041051407926,-7740.855880191385,72.8795704999975,5.070019599999796,8.0,8.0,8.0,8.0
lstm,pH,2.0009037213036507,8.553804489719568,2.9246887851051038,25.051326748303378,-8513.0565891692,45.203137100001186,4.1993924000016705,9.0,9.0,9.0,9.0
