loss,mae,val_loss,val_mae
0.09686736017465591,0.24243241548538208,0.04169570282101631,0.16057150065898895
0.04610329866409302,0.16928334534168243,0.03842565417289734,0.15654999017715454
0.030335459858179092,0.1371871531009674,0.029699256643652916,0.13666921854019165
0.01874232105910778,0.10720422863960266,0.0342303067445755,0.15040694177150726
0.014286178164184093,0.09389462321996689,0.031696341931819916,0.14582885801792145
0.008887103758752346,0.07451615482568741,0.0287880040705204,0.13833849132061005
0.00708747049793601,0.06562253087759018,0.02556038089096546,0.12942469120025635
0.005929175298660994,0.06007643789052963,0.02526029758155346,0.12871451675891876
0.004668776877224445,0.053550850600004196,0.02318376675248146,0.12312187254428864
0.00385101605206728,0.04870585724711418,0.02675488404929638,0.13427437841892242
0.002998721320182085,0.04260920733213425,0.018584877252578735,0.10951478034257889
0.002411953406408429,0.03822904825210571,0.016532808542251587,0.10246570408344269
0.001995103433728218,0.035017967224121094,0.018222428858280182,0.10883001238107681
0.0017144338926300406,0.03211019188165665,0.01608402468264103,0.10122837126255035
0.0014421932864934206,0.029505643993616104,0.013538327999413013,0.09264657646417618
0.0012473799288272858,0.027514690533280373,0.012523013167083263,0.08918475359678268
0.0010202019475400448,0.02480687014758587,0.01267876848578453,0.09011358767747879
0.0008804603130556643,0.022894855588674545,0.012923507951200008,0.090983085334301
0.0008405100088566542,0.022383874282240868,0.013470487669110298,0.09352613985538483
0.0007061492651700974,0.020596688613295555,0.011929018422961235,0.0870923399925232
0.0006431045476347208,0.019334452226758003,0.013173958286643028,0.09252993762493134
0.0005400183144956827,0.017977256327867508,0.011379711329936981,0.08518651127815247
0.0005072061903774738,0.0175464004278183,0.011263089254498482,0.08440691232681274
0.0004686836909968406,0.016855433583259583,0.010071340948343277,0.0799894779920578
0.0004126561398152262,0.015435246750712395,0.010548913851380348,0.08244191855192184
0.0003888361097779125,0.014970625750720501,0.009253287687897682,0.07674489170312881
0.00033356877975165844,0.013943140394985676,0.009959536604583263,0.08043893426656723
0.00032313805422745645,0.01355252880603075,0.009011487476527691,0.07579588890075684
0.0002880999236367643,0.012916315346956253,0.008814298547804356,0.0748448520898819
0.00027966691413894296,0.012843800708651543,0.007494069170206785,0.06853438913822174
0.0002588009519968182,0.012261494994163513,0.007936231791973114,0.0708693191409111
0.0002426351566100493,0.011824842542409897,0.007908475585281849,0.07064221054315567
0.0002157688868464902,0.011224543675780296,0.0077233221381902695,0.07000350207090378
0.00019721640273928642,0.010832914151251316,0.007803729269653559,0.0704420655965805
0.0002049871109193191,0.010784797370433807,0.007378424517810345,0.06827780604362488
0.00018537999130785465,0.010332242585718632,0.007130250800400972,0.0672716498374939
0.0001838928583310917,0.010322166606783867,0.006677186582237482,0.06465816497802734
0.00017427638522349298,0.009872608818113804,0.006752333138138056,0.06532665342092514
0.00016775746189523488,0.009772568009793758,0.005981198512017727,0.06129802390933037
0.0001599237584741786,0.009578993543982506,0.0064060199074447155,0.0633411705493927
0.00016121461521834135,0.009520136751234531,0.006019201595336199,0.06140945479273796
0.0001508585992269218,0.009210223332047462,0.005658888723701239,0.05959479510784149
0.0001452016003895551,0.009079908952116966,0.00536427041515708,0.057710159569978714
0.0001432683930033818,0.00893233623355627,0.005146554205566645,0.0564509741961956
0.00012926835916005075,0.008473394438624382,0.005613680463284254,0.05966607481241226
0.0001336924178758636,0.008701752871274948,0.005146905314177275,0.05669524520635605
0.0001301027659792453,0.008433864451944828,0.004983664024621248,0.05559437349438667
0.00012990765389986336,0.00829660426825285,0.005456173792481422,0.05860104411840439
0.00012257089838385582,0.008183305151760578,0.005338646471500397,0.05809291824698448
0.0001295863330597058,0.00834464281797409,0.004840792156755924,0.05517754703760147
