loss,mae,val_loss,val_mae
47.671749114990234,6.848470687866211,38.13747787475586,6.155879974365234
25.505752563476562,5.012136936187744,28.65100860595703,5.343621253967285
15.79528522491455,3.947766065597534,19.97276496887207,4.468037128448486
9.988350868225098,3.1382436752319336,13.094783782958984,3.614123821258545
5.915346622467041,2.4154226779937744,7.42528772354126,2.716867446899414
3.1896023750305176,1.7741659879684448,3.893988847732544,1.963423728942871
1.5627593994140625,1.240641713142395,1.9009912014007568,1.367152214050293
0.6808234453201294,0.8154624700546265,0.8386677503585815,0.9010390043258667
0.22864489257335663,0.4660138785839081,0.31695011258125305,0.5413463115692139
0.043878186494112015,0.1890724152326584,0.0967811793088913,0.27759748697280884
0.005830074660480022,0.062383245676755905,0.02891945093870163,0.1380271315574646
0.031824711710214615,0.16368888318538666,0.021293193101882935,0.12248170375823975
0.055050261318683624,0.22502894699573517,0.02552052214741707,0.12906405329704285
0.06558425724506378,0.2485782355070114,0.024941064417362213,0.1270870417356491
0.05535532161593437,0.22641661763191223,0.02040802873671055,0.11776527762413025
0.03493176028132439,0.17507421970367432,0.018048720434308052,0.11357609927654266
0.017942657694220543,0.11839905381202698,0.021579310297966003,0.12391173839569092
0.00771982641890645,0.07396838814020157,0.03015322983264923,0.14717403054237366
0.0042281802743673325,0.051631860435009,0.03992808610200882,0.17162710428237915
0.004906286019831896,0.056040458381175995,0.04692194238305092,0.18783752620220184
0.007065457291901112,0.06548009812831879,0.049509044736623764,0.1932760775089264
0.006330190692096949,0.06437944620847702,0.04790068417787552,0.18977978825569153
