Feature_Set,Number_of_Features,Model,MAE,MSE,RMSE,MAPE,R2,Training_Time,Prediction_Time
all_features,152,persistence,0.2209664429530201,0.09285187919463085,0.30471606323695977,3.2265786301387704,0.7402009766962192,1.7999996089201886e-06,0.00020290000020395382
all_features,152,linear_regression,0.2950258074543649,0.12722485467802322,0.35668593282890093,4.294757933115253,0.6440255892287083,0.009837099999913335,0.0022040999997443578
all_features,152,random_forest,0.2395136125146756,0.1023274862244067,0.3198866771599072,3.5209732488699688,0.7136882827917048,0.6150125999997726,0.09440489999997226
rfe_cfs,8,persistence,0.2209664429530201,0.09285187919463085,0.30471606323695977,3.2265786301387704,0.7402009766962192,1.5999999050109182e-06,0.00013649999982590089
rfe_cfs,8,linear_regression,0.2508372718838834,0.10541594918054613,0.3246782240627574,3.561675466298122,0.7050467812251826,0.001118900000165013,0.001250899999831745
rfe_cfs,8,random_forest,0.23288942573710752,0.09628461917724428,0.3102976299897314,3.3965917296245056,0.7305961899921245,0.23205479999978706,0.07790269999986776
