Model,Target,MAE,MSE,RMSE,MAPE,R2,Training_Time,Prediction_Time,Chapter
persistence,pH,0.0068053527980535,8.47566909975673e-05,0.0092063397176927,0.0853686428876699,0.8311484856336537,4.599998646881431e-06,0.0008847999997669,3
linear_regression,pH,0.0074920052323936,9.713093004903934e-05,0.0098555025264589,0.0939585286677538,0.8064966383472584,0.1506097000019508,0.017087199998059,3
random_forest,pH,0.0074881242512409,9.788095735456008e-05,0.0098934805480457,0.0939503797233934,0.8050024407227083,14.092372399998569,1.4156918000007863,3
svr,pH,0.0244483148664121,0.0009406931072958,0.0306707206843238,0.3069518123939028,-0.8740403129404966,6.041859000000841,1.0381860999987111,3
arima,pH,0.0219588794623992,0.0008390978156476,0.0289671851523007,0.2750382456279647,-0.0728014543539992,0.8631349000024784,0.0177241999990656,3
lstm,pH,2.0009037213036507,8.553804489719568,2.924688785105104,25.051326748303374,-8513.0565891692,45.20313710000119,4.199392400001671,3
gru,pH,1.7983280269449409,7.7779987592500675,2.788906373338852,22.54604105140793,-7740.855880191385,72.8795704999975,5.070019599999796,3
transformer,pH,0.3259681480870101,0.1136634528403309,0.3371401086200379,4.0881991369205934,-112.13528042007763,68.16578899999877,1.697579499999847,3
arima_lstm_hybrid,pH,0.0424493482845458,0.0026902386940989,0.0518675109688031,0.5326300253047269,-4.625243649535696,278.13196569999855,225.3077944999968,3
